user_id,referred_by_user_id,date,state,product_category,customer_segment,sales_channel,purchase_amount,time_on_site,items_viewed
3938,1873.0,2022-07-21,MI,Clothing,Low,Retail,52.33776290204243,40.02512028599444,12
4687,4754.0,2021-07-28,FL,Home,Low,Retail,56.3594889387544,36.442900507478434,28
3769,3660.0,2020-05-04,AK,Sports,High,Retail,56.975620215376566,12.204534561247865,1
4881,2994.0,2022-10-21,MS,Electronics,Medium,Online,63.7846947233657,44.14068389262624,32
3910,781.0,2020-05-10,WY,Sports,Low,Online,40.45102681116027,11.123289261380748,15
790,780.0,2022-12-07,RI,Sports,Low,Online,21.70014828765648,21.20302741698376,1
2790,291.0,2021-03-20,MO,Electronics,High,Online,52.188365239300445,25.50856980981003,1
4142,4331.0,2021-01-01,NE,Sports,Low,Retail,27.04441850583803,44.65864399623419,18
198,3006.0,2021-05-11,NV,Electronics,Low,Phone,62.222756611174674,35.77257353691864,16
2529,3541.0,2022-04-09,VT,Sports,Low,Phone,51.50212079591921,36.99328182552247,8
